Rep,N,Crate,Model,LogLik,AIC,BIC,nu
59,25,0.0,MSLCR,-225.638275477385,489.276550954771,512.435191627267,4
60,25,0.0,MVNR,-217.099122156994,470.198244313987,492.138009161615,4
60,25,0.0,MVTR,-217.099136124416,472.198272248833,495.356912921329,4
60,25,0.0,MSLR,-217.10296490551,472.20592981102,495.364570483515,4
60,25,0.0,MVNCR,-217.099122156994,470.198244313987,492.138009161615,4
60,25,0.0,MVTCR,-217.099142030497,472.198284060995,495.356924733491,4
60,25,0.0,MSLCR,-217.974868876341,473.949737752682,497.108378425178,4
61,25,0.0,MVNR,-221.581168361652,479.162336723305,501.102101570933,4
61,25,0.0,MVTR,-221.15403188052,480.308063761039,503.466704433535,4
61,25,0.0,MSLR,-221.309030504423,480.618061008846,503.776701681341,4
61,25,0.0,MVNCR,-221.581168361653,479.162336723305,501.102101570933,4
61,25,0.0,MVTCR,-221.154031880519,480.308063761038,503.466704433534,4
61,25,0.0,MSLCR,-221.4095820551,480.819164110199,503.977804782695,4
62,25,0.0,MVNR,-227.631059857527,491.262119715054,513.201884562682,4
62,25,0.0,MVTR,-227.258630531322,492.517261062645,515.67590173514,4
62,25,0.0,MSLR,-227.356529926553,492.713059853106,515.871700525602,4
